N,P,K,temperature,humidity,ph,rainfall,air quality,light intensity,date,yield,ideal_planting_time,next_season_crop
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,31,366,2022-01-14T21:56:57Z,39.93,Early June,Soybean
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,31,379,2022-01-21T17:17:26Z,39.93,Early June,Corn
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,31,388,2022-01-28T21:45:21Z,39.93,Early June,Soybean
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,30,406,2022-02-04T06:56:43Z,39.93,Early June,Soybean
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,29,407,2022-02-11T12:09:37Z,32.67,Early June,Soybean
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,28,421,2022-02-18T14:16:11Z,39.93,Early June,Soybean
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,29,421,2022-02-25T18:57:34Z,39.93,Early June,Corn
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,28,429,2022-03-04T23:09:38Z,39.93,Early June,Soybean
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,28,409,2022-03-11T20:18:36Z,39.93,Early June,Corn
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,27,420,2022-03-18T20:41:03Z,39.93,Early June,Soybean
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,28,420,2022-03-25T02:37:44Z,39.93,Early June,Soybean
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,28,438,2022-04-01T10:34:09Z,32.67,Early June,Corn
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,27,428,2022-04-08T02:58:20Z,32.67,Early June,Corn
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,26,444,2022-04-15T05:08:05Z,39.93,Early June,Corn
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,27,447,2022-04-22T05:30:45Z,32.67,Early June,Soybean
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,28,429,2022-04-29T08:24:36Z,39.93,Early June,Soybean
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,29,420,2022-05-06T10:59:52Z,32.67,Early June,Soybean
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,29,414,2022-05-13T10:55:16Z,32.67,Early June,Corn
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,28,434,2022-05-20T19:57:01Z,39.93,Early June,Corn
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,27,428,2022-05-27T10:08:15Z,32.67,Early June,Soybean
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,27,415,2022-06-03T19:38:34Z,39.93,Early June,Corn
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,26,423,2022-06-10T15:33:53Z,39.93,Early June,Soybean
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,26,429,2022-06-17T21:23:11Z,32.67,Early June,Corn
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,26,434,2022-06-24T17:44:45Z,32.67,Early June,Soybean
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,25,449,2022-07-01T13:56:19Z,32.67,Early June,Corn
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,26,442,2022-07-08T23:15:45Z,39.93,Early June,Soybean
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,27,440,2022-07-15T22:17:04Z,26.73,Late April,Wheat
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,28,460,2022-07-22T09:47:51Z,32.67,Early June,Soybean
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,28,438,2022-07-29T17:00:43Z,32.67,Early June,Corn
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,28,443,2022-08-05T14:15:49Z,26.73,Early June,Corn
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,29,465,2022-08-12T03:14:28Z,32.67,Early June,Corn
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,29,459,2022-08-19T14:10:37Z,32.67,Early June,Corn
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,29,481,2022-08-26T06:44:22Z,39.93,Early June,Soybean
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,29,478,2022-09-02T16:33:09Z,32.67,Early June,Soybean
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,28,457,2022-09-09T00:44:04Z,39.93,Early June,Corn
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,29,461,2022-09-16T04:07:22Z,39.93,Early June,Corn
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,30,445,2022-09-23T18:49:08Z,39.93,Early June,Corn
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,29,430,2022-09-30T17:09:09Z,39.93,Early June,Corn
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,28,427,2022-10-07T11:49:38Z,39.93,Early June,Soybean
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,29,424,2022-10-14T05:03:02Z,39.93,Early June,Soybean
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,30,416,2022-10-21T10:38:13Z,32.67,Early June,Corn
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,30,420,2022-10-28T14:30:43Z,32.67,Early June,Corn
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,30,437,2022-11-04T22:40:48Z,39.93,Early June,Corn
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,30,443,2022-11-11T07:51:37Z,32.67,Early June,Corn
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,29,462,2022-11-18T19:15:34Z,32.67,Early June,Soybean
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,28,482,2022-11-25T04:39:18Z,26.73,Early June,Soybean
86,43,43,20.60599325,85.90310414,6.706261371,206.9111775,28,490,2022-12-02T19:49:01Z,39.93,Mid October,Corn
87,61,41,22.05901894,81.10528938,7.106089252,221.0785367,27,496,2022-12-09T05:22:32Z,39.93,Early June,Corn
58,55,44,21.91482173,84.01147736,8.020702727,273.2852275,26,476,2022-12-16T03:03:31Z,32.67,Early June,Soybean
76,34,42,27.03961495,82.88297717,6.951302949,232.7160351,27,470,2022-12-23T18:13:08Z,39.93,Early June,Soybean
76,41,42,20.90770663,81.99788256,7.96631526,269.618048,28,471,2022-12-30T15:22:44Z,39.93,Early June,Corn
70,36,42,23.49024943,82.17040223,7.022338814,246.8670604,28,461,2023-01-06T22:12:56Z,39.93,Early June,Corn
68,55,39,22.45260553,85.60944859,5.977849782,279.0739852,28,457,2023-01-13T15:54:18Z,32.67,Early June,Soybean
98,54,40,20.32704748,84.30159987,5.440354583,244.576973,29,459,2023-01-20T11:37:00Z,39.93,Early June,Soybean
92,53,36,25.42135107,85.827755,6.988405906,241.2398973,30,451,2023-01-27T16:48:28Z,39.93,Early June,Soybean
69,60,38,23.69795289,80.25340707,6.194121223,217.2810494,29,460,2023-02-03T11:05:25Z,32.67,Early June,Corn
95,52,42,27.35504588,79.04832093,5.128083634,264.8583135,30,469,2023-02-10T00:19:51Z,39.93,Early June,Soybean
87,45,41,23.90015426,84.92520298,7.547692386,260.7580525,31,485,2023-02-17T20:13:22Z,39.93,Early June,Corn
82,58,45,27.58203964,83.77668761,5.081252408,275.0339432,32,498,2023-02-24T06:46:20Z,39.93,Early June,Soybean
94,54,37,23.25961344,81.43361648,7.26948902,183.3565583,33,508,2023-03-03T13:36:16Z,32.67,Early June,Corn
92,52,37,25.17297873,80.13293446,6.647083708,217.6192809,32,506,2023-03-10T01:48:59Z,39.93,Early June,Soybean
58,46,40,25.49192407,81.0746473,6.713508066,242.4453349,31,508,2023-03-17T07:41:36Z,32.67,Early June,Soybean
88,39,42,21.45042725,79.3659839,6.318782557,282.4015169,31,508,2023-03-24T07:26:17Z,39.93,Early June,Corn
87,36,40,22.63559885,76.63492819,7.039954069,197.0087944,30,504,2023-03-31T08:41:09Z,32.67,Early June,Soybean
74,38,35,22.13989909,83.59896733,6.205409142,220.6187175,29,500,2023-04-07T00:36:51Z,39.93,Early June,Soybean
86,36,40,24.10235562,82.29686317,5.768433904,288.5230527,28,492,2023-04-14T08:26:42Z,39.93,Early June,Corn
87,43,36,20.32492034,83.00668467,6.435928633,193.1961147,28,468,2023-04-21T00:00:19Z,32.67,Mid October,Corn
75,42,41,24.63342028,83.29234971,5.163756666,223.6521941,28,456,2023-04-28T03:43:07Z,39.93,Early June,Soybean
69,58,42,22.10303962,80.98219928,5.86612259,208.023465,27,458,2023-05-05T06:45:16Z,32.67,Early June,Soybean
83,42,43,20.32999424,86.33292007,5.997031298,237.9090919,28,454,2023-05-12T05:04:50Z,39.93,Early June,Soybean
100,49,35,23.60691912,80.51968687,7.009855462,233.6826885,27,474,2023-05-19T02:06:35Z,39.93,Early June,Corn
67,52,42,25.45172388,80.78040971,8.135730665,252.6046938,26,453,2023-05-26T15:50:53Z,32.67,Early June,Soybean
100,58,44,27.28648297,87.05545936,6.325027274,271.1265503,27,448,2023-06-02T01:21:25Z,39.93,Early June,Corn
100,49,42,23.70773105,77.2346052,7.322432909,250.8712251,28,432,2023-06-09T03:31:33Z,39.93,Early June,Soybean
58,50,43,20.52224903,86.31409994,6.327492868,241.4089507,29,436,2023-06-16T09:28:30Z,32.67,Early June,Soybean
81,51,36,22.51879099,76.78035814,5.774887039,191.497455,30,430,2023-06-23T10:04:00Z,32.67,Early June,Soybean
73,57,41,20.47009428,87.05709042,5.575586066,276.9044707,31,440,2023-06-30T05:29:53Z,39.93,Early June,Corn
90,36,38,21.5753904,78.97842418,6.469231196,202.0127504,30,442,2023-07-07T01:04:34Z,39.93,Early June,Soybean
81,37,39,25.52413818,80.37254427,6.357290394,221.3094196,29,456,2023-07-14T20:10:14Z,39.93,Early June,Corn
96,55,37,19.6016356,77.69727276,5.21884574,273.671566,28,473,2023-07-21T15:29:24Z,32.67,Early June,Soybean
85,53,43,24.77721756,84.58027827,5.848170662,221.4991649,27,487,2023-07-28T08:41:22Z,39.93,Early June,Soybean
99,55,43,26.58638801,84.99644667,5.768893865,188.5725387,27,496,2023-08-04T03:54:42Z,32.67,Early June,Soybean
98,55,34,26.2232959,83.25869568,5.677261843,282.1865809,27,511,2023-08-11T18:41:32Z,39.93,Early June,Corn
91,40,35,22.76529321,86.46530727,5.328080041,290.0732414,27,518,2023-08-18T12:41:08Z,39.93,Early June,Corn
61,41,46,20.87734528,79.56510545,7.47393115,288.8301593,27,515,2023-08-25T00:04:19Z,32.67,Early June,Soybean
65,42,40,23.90672364,84.63480533,5.670206307,250.980959,26,510,2023-09-01T01:44:22Z,32.67,Early June,Corn
65,43,36,21.73069193,80.70780518,6.429895805,260.1016666,26,491,2023-09-08T05:11:27Z,32.67,Late May,Barley
64,46,45,25.41871314,83.92148518,5.426582209,211.8972462,27,507,2023-09-15T03:13:44Z,32.67,Early June,Soybean
84,59,37,26.35104139,83.49470396,6.725993342,194.4007514,27,496,2023-09-22T11:33:44Z,32.67,Early June,Corn
82,40,40,24.56097194,85.91232968,6.461469852,306.62062,28,509,2023-09-29T16:11:47Z,32.67,Early June,Soybean
82,54,47,26.3922891,83.40114332,7.509122627,264.4083526,29,488,2023-10-06T00:56:46Z,39.93,Early June,Soybean
90,33,39,25.2873231,77.14597368,6.304953847,178.0211037,30,490,2023-10-13T21:26:26Z,32.67,Early June,Soybean
77,49,43,24.07147809,84.78411009,5.449311792,195.5544613,29,487,2023-10-20T19:27:44Z,32.67,Early June,Soybean
77,40,37,24.0813312,86.54790783,7.717364269,230.1738768,29,485,2023-10-27T02:43:09Z,39.93,Early June,Corn
77,41,38,21.99338716,83.1557474,7.371191147,219.8217558,30,489,2023-11-03T00:03:33Z,39.93,Early June,Corn
86,57,46,23.69373299,78.26337542,8.047663902,241.5833936,30,486,2023-11-10T00:31:05Z,39.93,Early June,Corn
60,34,41,24.0727774,84.5513225,5.140506214,221.0523464,29,491,2023-11-17T23:36:04Z,32.67,Early June,Soybean
73,58,38,19.13408367,80.77277771,6.445175317,203.018814,29,488,2023-11-24T01:52:26Z,32.67,Early June,Soybean
92,54,43,24.34719443,81.09934168,7.371243452,190.4897295,30,495,2023-12-01T16:40:50Z,32.67,Early June,Soybean
68,58,43,23.05753469,85.06552159,5.935199585,226.1220145,31,482,2023-12-08T04:18:50Z,32.67,Early June,Soybean
96,52,36,25.01673493,84.23170196,5.721150578,277.9007071,31,478,2023-12-15T17:37:35Z,39.93,Early June,Soybean
73,38,37,22.50224497,83.41274576,6.180548824,291.9704713,31,474,2023-12-22T02:12:50Z,39.93,Early June,Soybean
71,54,37,26.82644743,86.12316227,7.179943301,226.4069812,30,466,2023-12-29T00:22:42Z,39.93,Early June,Corn
95,36,44,23.41344943,84.03914949,6.195212986,270.4629743,29,483,2024-01-05T07:09:05Z,39.93,Early June,Corn
73,46,40,19.89234163,81.47231446,7.437413135,194.5076222,30,479,2024-01-12T14:10:47Z,26.73,Early June,Corn
100,57,33,21.32499403,79.01831826,6.297549407,272.3450959,29,491,2024-01-19T21:29:22Z,39.93,Early June,Corn
71,40,39,20.60385051,86.16844734,7.327458266,256.5136289,28,478,2024-01-26T02:05:55Z,39.93,Early April,Corn
81,61,43,24.6740107,80.95492474,5.869612733,241.2917473,27,465,2024-02-02T22:30:00Z,39.93,Early June,Soybean
93,58,38,20.78722141,87.55436972,7.135327825,284.9824482,27,444,2024-02-09T16:13:52Z,39.93,Early June,Soybean
72,37,41,21.98373825,81.97893323,6.914667822,198.9605427,26,437,2024-02-16T11:08:02Z,32.67,Early June,Corn
75,46,43,20.50225396,81.05151616,5.661640376,250.9192533,27,456,2024-02-23T03:29:23Z,39.93,Early June,Corn
99,43,38,25.64052519,81.81919757,6.4583687,185.379283,27,476,2024-03-01T16:53:21Z,32.67,Early June,Soybean
95,54,37,20.64405845,78.88660322,5.360703812,198.5032624,27,477,2024-03-08T08:47:33Z,32.67,Early June,Soybean
85,59,35,25.00502819,81.41831082,6.874794167,238.5830225,26,462,2024-03-15T13:42:10Z,39.93,Early June,Soybean
71,46,40,23.96721167,80.77788591,5.035464556,272.1520675,25,471,2024-03-22T16:21:44Z,39.93,Early June,Soybean
90,55,39,22.54770231,78.08825983,6.177474129,259.4648234,26,493,2024-03-29T00:00:23Z,39.93,Early June,Soybean
60,53,41,24.43309243,85.21863302,7.030269557,207.6755139,26,493,2024-04-05T04:44:20Z,32.67,Early June,Soybean
66,46,38,23.47839461,83.94388958,7.308695982,260.9060212,26,510,2024-04-12T21:31:13Z,32.67,Early June,Corn
82,41,38,25.56645656,82.68701218,6.592192395,308.2273177,27,498,2024-04-19T07:46:13Z,32.67,Early June,Soybean
80,44,43,20.45021954,85.84985152,7.34928851,182.8605211,27,508,2024-04-26T02:26:53Z,32.67,Early June,Soybean
73,53,37,27.40428194,85.57784277,7.345889123,249.4792844,26,530,2024-05-03T17:48:48Z,39.93,Early June,Corn
93,36,44,21.94066214,81.79077326,7.039025087,265.372904,25,552,2024-05-10T02:52:48Z,39.93,Early June,Soybean
66,48,42,27.67668018,84.15723389,7.546321787,286.270903,24,541,2024-05-17T12:25:36Z,32.67,Early June,Soybean
73,34,38,24.49391295,85.11315839,5.074779887,182.6821721,24,530,2024-05-24T20:26:27Z,32.67,Early June,Corn
73,34,36,26.59668423,83.40422691,6.080065588,192.6484288,24,522,2024-05-31T19:56:57Z,32.67,Early June,Soybean
77,40,36,23.60779998,79.97429095,7.734672135,195.7323736,25,513,2024-06-07T08:17:46Z,32.67,Early June,Soybean
67,57,41,25.87454553,76.78798431,5.949063317,175.1253775,25,530,2024-06-14T23:20:13Z,26.73,Early April,Corn
71,44,34,25.08363466,87.08267002,5.818021138,190.2506998,24,542,2024-06-21T05:10:42Z,32.67,Early June,Soybean
61,51,44,26.3312391,79.33760939,6.225812612,221.941504,23,549,2024-06-28T04:39:15Z,32.67,Early June,Corn
65,45,40,25.24453596,82.7330702,6.263335673,184.0179005,23,575,2024-07-05T18:08:49Z,26.73,Early June,Soybean
64,59,40,24.77336922,77.95337757,5.270257851,225.9265838,22,602,2024-07-12T20:20:08Z,32.67,Early June,Soybean
68,59,37,22.2957265,84.84427369,6.573043087,228.5878238,22,622,2024-07-19T20:03:45Z,32.67,Early June,Soybean
83,43,37,22.79458412,82.60289622,5.175903256,244.1881037,22,596,2024-07-26T18:36:11Z,39.93,Early June,Soybean
81,52,45,24.55053354,79.93738279,6.131015496,185.2003243,22,579,2024-08-02T00:08:52Z,32.67,Early June,Corn
81,55,44,23.853096,83.55696922,5.125554646,240.557116,23,591,2024-08-09T02:00:27Z,39.93,Early June,Corn
90,52,41,21.50403446,81.67112463,6.307613579,224.521046,22,617,2024-08-16T18:54:01Z,39.93,Early June,Soybean
93,52,37,27.28204725,84.42308569,6.936555019,278.139613,22,593,2024-08-23T05:21:54Z,39.93,Early June,Corn
90,44,38,23.7395904,82.37675046,7.519820934,230.9753249,23,619,2024-08-30T01:09:01Z,39.93,Early June,Soybean
79,46,35,26.91247581,79.45367864,6.293730459,221.6193517,24,610,2024-09-06T12:40:34Z,39.93,Early June,Soybean
77,39,40,27.03557783,85.3219731,7.482727962,246.2357746,24,598,2024-09-13T08:04:38Z,39.93,Early June,Soybean
60,50,37,21.58983688,83.62639163,5.763227058,265.1874284,24,627,2024-09-20T19:13:19Z,32.67,Early June,Corn
91,48,42,23.74588159,83.86448488,6.701623835,190.1008792,24,615,2024-09-27T21:14:11Z,32.67,Early June,Corn
95,47,38,22.40959143,84.69216738,6.408596391,304.2521686,25,591,2024-10-04T10:29:56Z,32.67,Early June,Corn
59,57,45,20.68367556,84.34961228,6.021986674,301.1693518,26,578,2024-10-11T16:57:36Z,26.73,Early June,Corn
77,36,43,25.42335775,82.47605854,6.962531048,177.8424068,26,581,2024-10-18T06:17:43Z,32.67,Early June,Soybean
89.65737911,41.62061236,43.71598912,19.3666392,82.2895932,6.483634519,206.2629495,35.46448948,456.9199639,2021-01-09 00:00:00+00:00,32.67,Early June,Corn
90.31137618,41.9349261,40.90799012,20.00882548,82.40234246,6.39501132,203.9723899,34.81055927,440.4962719,2021-01-02 00:00:00+00:00,39.93,Mid October,Corn
89.40832877,45.65066775,42.66767368,23.44806872,81.13141715,6.480253465,208.5288872,36.16513038,449.1338736,2021-01-29 00:00:00+00:00,39.93,Early June,Soybean
86.67574342,44.12129125,46.62251977,20.09315571,81.78245365,6.525456802,206.5449617,33.58870086,447.4602369,2021-01-10 00:00:00+00:00,39.93,Early June,Soybean
90.79921759,40.35367176,40.25180778,21.36205933,81.83116345,6.668474222,204.780839,35.82311333,439.2941925,2021-01-18 00:00:00+00:00,39.93,Early June,Corn
82.23576526,59.35159304,41.0156625,21.15046476,77.82476349,7.00020019,224.9410586,34.22780323,472.7461608,2021-02-06 04:42:11+00:00,39.93,Early June,Corn
85.3394801,58.68297108,40.06961392,23.21153455,79.04141896,6.944959172,224.4966394,34.491711,448.0818163,2021-01-19 04:42:11+00:00,39.93,Early June,Soybean
81.07304056,58.90594766,39.53101431,22.17222061,80.41731848,7.124450026,226.0702356,35.12986762,466.9401683,2021-01-22 04:42:11+00:00,39.93,Early June,Corn
84.66394978,56.65552928,40.47872593,20.9492965,80.56876059,7.113027038,226.0468361,35.82220964,462.3629729,2021-01-18 04:42:11+00:00,39.93,Early June,Soybean
84.55585326,58.90843451,38.35008978,22.60638155,80.27200816,7.127839393,231.2634089,35.01076739,467.2453123,2021-01-31 04:42:11+00:00,39.93,Early June,Soybean
61.48201075,53.18158906,41.03611472,21.83014204,83.7012916,7.8367054,267.413391,33.67074202,463.8657383,2021-01-27 19:33:45+00:00,32.67,Early June,Soybean
59.54449019,56.63678182,45.36727798,22.22739534,83.12906058,7.745389215,264.9278389,33.83022426,457.1800181,2021-01-31 19:33:45+00:00,32.67,Early June,Soybean
60.4520916,57.30940405,39.53941566,23.46780894,83.17988881,7.902273372,264.6913495,33.11740078,480.8791159,2021-01-26 19:33:45+00:00,32.67,Early June,Corn
62.05570297,53.49021482,49.58408442,22.59980402,80.80488392,7.983515176,259.7701239,35.20131901,455.3304099,2021-02-13 19:33:45+00:00,32.67,Early June,Soybean
61.59143754,54.70160632,46.11910992,21.87834585,81.01529368,7.973985739,265.7114045,33.94508019,463.7165049,2021-01-29 19:33:45+00:00,32.67,Early June,Corn
72.03731893,36.59193952,39.50349064,25.63728542,79.93739327,6.89634901,229.9679075,34.71743284,468.6784169,2021-02-03 22:38:09+00:00,39.93,Early June,Soybean
72.72216284,30.23930411,41.16182005,25.43430941,81.00414657,6.952237426,250.3875678,34.29803292,475.5595088,2021-02-16 22:38:09+00:00,39.93,Early June,Corn
73.98319421,35.18409698,39.96800068,27.94880122,79.10364842,6.99892737,241.3019635,34.63430639,457.0672942,2021-01-28 22:38:09+00:00,39.93,Early June,Soybean
70.75633697,33.41348309,41.56447985,28.28074773,80.53172987,6.957092157,245.2564102,35.35735839,465.1956679,2021-01-27 22:38:09+00:00,39.93,Early June,Soybean
